baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene
208169.08059414514	3.002886954441797	0.12074567214879732	24.869520381163465	1.5904324783020239e-136	6.822955331915683e-134	ENSG00000100023
35093.65353081594	2.874397961023498	0.11891104042291432	24.17267522679583	4.3130479107573544e-129	9.251487768574525e-127	ENSG00000100109
14946.245616820841	2.8775182739108174	0.12263372786834736	23.464330114794834	9.4395340007713e-122	1.349853362110296e-119	ENSG00000099995
38460.40584773273	2.7544860263958464	0.1350617440684125	20.394272600245877	1.879894504603332e-92	2.0161868561870733e-90	ENSG00000100296
39613.110209531136	2.9633501068101396	0.16980480675456014	17.451508961659933	3.3525772625837434e-68	2.8765112912968515e-66	ENSG00000099899
37563.88281196829	3.5882648160553314	0.21297745296014925	16.848097139779114	1.0834504249641585e-63	7.7466705384937335e-62	ENSG00000099889
17345.86813020474	3.307093898181583	0.19906359233566906	16.613253379879872	5.587873305887133e-62	3.424568068893686e-60	ENSG00000100056
4363.7055932909125	3.0879818020549967	0.21116020923137066	14.623881143589225	1.977957630881645e-48	1.060679779560282e-46	ENSG00000185608
7601.7604319836055	2.805924966582337	0.2215080001781765	12.667375283625459	8.966462538677021e-37	4.2740138101027133e-35	ENSG00000100028
16817.32494436451	1.681303525310615	0.18091314519883828	9.293429305331713	1.4939562618845668e-20	6.409072363484791e-19	ENSG00000100029
7283.942956257173	3.5828081656511332	0.5360624929669486	6.68356434680095	2.3319939185389677e-11	9.094776282301974e-10	ENSG00000100319
1466.8250856381128	1.22311021053896	0.22162996293308243	5.518704214683545	3.415084499344813e-8	1.2208927085157705e-6	ENSG00000128342
5514.463901161856	-0.8577865029375771	0.1658491262114043	-5.172089371421681	2.3149081004031415e-7	7.382245540555908e-6	ENSG00000100129
2691.681815325992	-1.0691148926587468	0.20700698454762417	-5.16463198087302	2.409124418829434e-7	7.382245540555908e-6	ENSG00000100138
4495.067894038336	-0.935013647170407	0.19021928822487047	-4.915451297794087	8.857816962975598e-7	2.5333356514110212e-05	ENSG00000100316
3128.9750820006993	-1.0286667365331357	0.21311940473959248	-4.8267155109129956	1.3880317789429446e-6	3.631980383315269e-5	ENSG00000100353
3590.0948801117347	-0.8086955149128798	0.1677968569140675	-4.819491436165761	1.4392463057426474e-6	3.631980383315269e-5	ENSG00000100142
1588.5241435275757	-1.0757714331474553	0.22829962455131034	-4.712103382831782	2.4517293577442767e-6	5.843288302623859e-5	ENSG00000159958
8977.674156868039	-0.7050107066409382	0.1520519277024471	-4.636644318121275	3.541109814304248e-6	7.995453212297486e-5	ENSG00000100416
1150.1261494548075	1.2539617473383189	0.2929120343360757	4.28101819094115	1.8604014798571406e-5	3.990561174293566e-4	ENSG00000291240
1799.800100819884	1.1142272141455072	0.2845585911816264	3.915633717185241	9.016705287552799e-5	0.0018419840801715002	ENSG00000284431
602.9343615308966	-1.1334698670476577	0.3446096995177868	-3.2891409285163036	0.0010049369174341806	0.01959626988996652	ENSG00000225528
2795.9351503103608	-0.9834033958818295	0.3052671624342141	-3.221451623031205	0.0012754299245828194	0.023789540767218672	ENSG00000130487
723.2807511980418	-1.0243899201267797	0.33143720723901765	-3.0907511219403787	0.0019965090005173206	0.03568759838424711	ENSG00000168135
1395.4794747117676	0.8192203229795686	0.26663804441233147	3.072405983118894	0.002123407112561969	0.03643766605156339	ENSG00000289517
1056.0425117660784	-0.8833641668544351	0.2911939730467973	-3.0335935789181705	0.0024165974929399644	0.03987385863350941	ENSG00000073169
1953.3856097265252	-0.772168494867791	0.25934870829285755	-2.977336960536759	0.0029076424757970994	0.04619920822655391	ENSG00000138944
8490.519485976141	-0.5499767227017143	0.19311340935631033	-2.8479468335984963	0.004400227488980816	0.06741777117045608	ENSG00000186716
5026.74575062109	-0.5740223924796395	0.20271366312235609	-2.8316906894093514	0.004630261541789926	0.06849593798027166	ENSG00000188677
4317.798302448133	-0.46173394438797555	0.16601118310539306	-2.7813424117027186	0.005413460592752709	0.07741248647636374	ENSG00000100413
2088.292040568863	-0.7195275173405186	0.2658869950616976	-2.7061403178954135	0.006807027702499659	0.09420048014104367	ENSG00000275793
1540.5762182639428	-0.5914770714149098	0.22078478288964581	-2.678975714148497	0.007384774976581807	0.09900213952979985	ENSG00000187051
3177.8643397282594	-0.5775357938308576	0.22490477378497267	-2.5679125618873213	0.010231295995439291	0.1330068479407108	ENSG00000183307
764.9734118905883	0.9408885608141554	0.37120099531046435	2.5347145419888135	0.011253899080751136	0.1419977266365364	ENSG00000284554
1701.5524919666063	0.5737555453997906	0.22783529989850534	2.5182908252381595	0.01179259052943887	0.14454346677512217	ENSG00000100399
6063.9051604652905	-0.5020086511155142	0.20099105485191956	-2.4976666324049583	0.01250136956498919	0.14897465398278784	ENSG00000100034
2059.256272884467	-0.73004638685747	0.30038887209981213	-2.430337654501705	0.015084762302431155	0.17490170345251257	ENSG00000075234
1255.9108477792124	-0.5792786901050186	0.24629231870622878	-2.351996575240203	0.01867294686045238	0.21080774218773868	ENSG00000128266
254.91566503801806	-1.1353376365729078	0.48546781674507394	-2.33864655372014	0.019353733343804375	NA	ENSG00000277971
3263.3009865664544	0.5262351610131762	0.22691225959037872	2.319112955655786	0.020388912468417748	0.22344266490394316	ENSG00000221890
5638.283288976433	0.4420119849796512	0.19126581964458705	2.3109826199004315	0.02083381490945857	0.22344266490394316	ENSG00000187860
3927.6715187568357	0.38573664558129617	0.167926103773001	2.297061843956833	0.02161524202923468	0.2261692397693092	ENSG00000069998
